,adress,coord,latitudes,longitudes
0,Shqipëria,"(41.000028, 19.9999619)",41.000028,19.9999619
2,Argentina,"(-34.9964963, -64.9672817)",-34.9964963,-64.9672817
4,Australia,"(-24.7761086, 134.755)",-24.7761086,134.755
7,Österreich,"(47.2000338, 13.199959)",47.2000338,13.199959
9,België / Belgique / Belgien,"(50.6402809, 4.6667145)",50.6402809,4.6667145
12,Brasil,"(-10.3333333, -53.2)",-10.3333333,-53.2
15,Бългaрия,"(42.6073975, 25.4856617)",42.6073975,25.4856617
17,ព្រះរាជាណាចក្រ​កម្ពុជា,"(13.5066394, 104.869423)",13.5066394,104.869423
19,Canada,"(61.0666922, -107.9917071)",61.0666922,-107.9917071
22,Chile,"(-31.7613365, -71.3187697)",-31.7613365,-71.3187697
24,Colombia,"(2.8894434, -73.783892)",2.8894434,-73.783892
26,Hrvatska,"(45.5643442, 17.0118954)",45.5643442,17.0118954
28,Česko,"(49.8167003, 15.4749544)",49.8167003,15.4749544
31,Danmark,"(55.670249, 10.3333283)",55.670249,10.3333283
34,مصر,"(26.2540493, 29.2675469)",26.2540493,29.2675469
36,Eesti,"(58.7523778, 25.3319078)",58.7523778,25.3319078
39,Suomi,"(63.2467777, 25.9209164)",63.2467777,25.9209164
42,France,"(46.603354, 1.8883335)",46.603354,1.8883335
45,Deutschland,"(51.0834196, 10.4234469)",51.0834196,10.4234469
48,Ελλάς,"(38.9953683, 21.9877132)",38.9953683,21.9877132
50,"香港島 Hong Kong Island, 香港 Hong Kong, China 中国","(22.2793278, 114.1628131)",22.2793278,114.1628131
52,Magyarország,"(47.1817585, 19.5060937)",47.1817585,19.5060937
54,Ísland,"(64.9841821, -18.1059013)",64.9841821,-18.1059013
56,भारत - India,"(22.3511148, 78.6677428)",22.3511148,78.6677428
58,Indonesia,"(-2.4833826, 117.8902853)",-2.4833826,117.8902853
60,Ireland,"(52.865196, -7.9794599)",52.865196,-7.9794599
63,ישראל,"(31.5313113, 34.8667654)",31.5313113,34.8667654
65,Italia,"(42.6384261, 12.674297)",42.6384261,12.674297
68,日本,"(36.5748441, 139.2394179)",36.5748441,139.2394179
71,Latvija,"(56.8406494, 24.7537645)",56.8406494,24.7537645
73,Lietuva,"(55.3500003, 23.7499997)",55.3500003,23.7499997
75,Lëtzebuerg,"(49.8158683, 6.1296751)",49.8158683,6.1296751
78,"澳門 Macau, China 中国","(22.1757605, 113.5514142)",22.1757605,113.5514142
80,Malaysia,"(4.5693754, 102.2656823)",4.5693754,102.2656823
82,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","(19.4326296, -99.1331785)",19.4326296,-99.1331785
85,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,"(31.1728205, -7.3362482)",31.1728205,-7.3362482
87,Nederland,"(52.5001698, 5.7480821)",52.5001698,5.7480821
90,New Zealand / Aotearoa,"(-41.5000831, 172.8344077)",-41.5000831,172.8344077
93,"Norge, Namsos, Trøndelag, Norge","(64.5731537, 11.52803643954819)",64.5731537,11.52803643954819
96,Philippines,"(12.7503486, 122.7312101)",12.7503486,122.7312101
99,Polska,"(52.215933, 19.134422)",52.215933,19.134422
101,Portugal,"(40.0332629, -7.8896263)",40.0332629,-7.8896263
